"","ID","Nazwa","prize","base_shop_url","shop_url"
"1",1,"Lodówka HAIER A3FE742CMJ Nofrost Srebrna",2999,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-a3fe742cmj-nofrost-srebrna"
"2",1,"Lodówka HAIER A3FE742CMJ Nofrost Srebrna",2999.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-a3fe742cmj-nofrost-srebrna"
"3",2,"Lodówka LG GBF72PZDMN Nofrost Srebrna",2499.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbf72pzdmn-nofrost-srebrna"
"4",2,"Lodówka LG GBF72PZDMN Nofrost Srebrna",2499.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbf72pzdmn-nofrost-srebrna"
"5",2,"Lodówka LG GBF72PZDMN Nofrost Srebrna",2499.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbf72pzdmn-nofrost-srebrna"
"6",3,"Lodówka LG GBB62PZHMN Nofrost Srebrna",2199.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb62pzhmn-nofrost-srebrna"
"7",3,"Lodówka LG GBB62PZHMN Nofrost Srebrna",2199.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb62pzhmn-nofrost-srebrna"
"8",3,"Lodówka LG GBB62PZHMN Nofrost Srebrna",2199.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb62pzhmn-nofrost-srebrna"
"9",4,"Lodówka LG GBF61BLHMN Nofrost Czarna",2299.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbf61blhmn-nofrost-czarna"
"10",4,"Lodówka LG GBF61BLHMN Nofrost Czarna",2299.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbf61blhmn-nofrost-czarna"
"11",4,"Lodówka LG GBF61BLHMN Nofrost Czarna",2299.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbf61blhmn-nofrost-czarna"
"12",5,"Lodówka SAMSUNG RB29FERNDSS Nofrost Srebrna",1699,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rb29ferndss-nofrost-srebrna"
"13",5,"Lodówka SAMSUNG RB29FERNDSS Nofrost Srebrna",1749,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rb29ferndss-nofrost-srebrna"
"14",5,"Lodówka SAMSUNG RB29FERNDSS Nofrost Srebrna",1749,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rb29ferndss-nofrost-srebrna"
"15",6,"Lodówka HAIER A3FE737CMJ Nofrost Srebrna",2699.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-a3fe737cmj-nofrost-srebrna"
"16",6,"Lodówka HAIER A3FE737CMJ Nofrost Srebrna",2699.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-a3fe737cmj-nofrost-srebrna"
"17",6,"Lodówka HAIER A3FE737CMJ Nofrost Srebrna",2699.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-a3fe737cmj-nofrost-srebrna"
"18",7,"Lodówka LG GSJ470DIDV Side by side Kostkarka",4299,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gsj470didv-side-by-side-kostkarka"
"19",7,"Lodówka LG GSJ470DIDV Side by side Kostkarka",4299,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gsj470didv-side-by-side-kostkarka"
